MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,airline_name,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DISTANCE,DEPARTURE_DELAY,delayed,HOUR
4,7,2,EV,Atlantic Southeast Airlines,FWA,DTW,1340,128,-5.0,0,13
1,24,6,AS,Alaska Airlines Inc.,LAS,SEA,1910,867,-12.0,0,19
7,8,3,WN,Southwest Airlines Co.,OAK,SEA,630,672,-4.0,0,6
5,26,2,WN,Southwest Airlines Co.,STL,DAL,810,546,153.0,1,8
7,6,1,UA,United Air Lines Inc.,IAH,HNL,1000,3904,8.0,0,10
9,14,1,DL,Delta Air Lines Inc.,HSV,ATL,1800,151,16.0,1,18
9,13,7,UA,United Air Lines Inc.,IAH,TPA,1357,787,1.0,0,13
6,22,1,AS,Alaska Airlines Inc.,SEA,PHX,1120,1107,-4.0,0,11
12,15,2,AA,American Airlines Inc.,JFK,LAX,900,2475,-8.0,0,9
10,26,1,F9,Frontier Airlines Inc.,14635,11292,725,1607,9.0,0,7
1,16,5,WN,Southwest Airlines Co.,MHT,BWI,545,377,-4.0,0,5
7,20,1,WN,Southwest Airlines Co.,MCO,SJU,1500,1189,-1.0,0,15
2,5,4,WN,Southwest Airlines Co.,LAS,SMF,1200,397,-1.0,0,12
9,24,4,WN,Southwest Airlines Co.,TPA,BNA,1255,612,-3.0,0,12
1,30,5,US,US Airways Inc.,DFW,CLT,505,936,-7.0,0,5
3,25,3,EV,Atlantic Southeast Airlines,DFW,CAE,2020,922,-1.0,0,20
2,18,3,DL,Delta Air Lines Inc.,BOS,MSP,605,1124,-2.0,0,6
1,22,4,AA,American Airlines Inc.,MCO,DFW,900,985,7.0,0,9
2,6,5,AA,American Airlines Inc.,MKE,DFW,1500,853,-5.0,0,15
6,9,2,US,US Airways Inc.,PHL,SAN,1555,2370,-7.0,0,15
9,26,6,HA,Hawaiian Airlines Inc.,HNL,OGG,1936,100,-7.0,0,19
2,6,5,WN,Southwest Airlines Co.,BUR,OAK,2110,325,21.0,1,21
1,3,6,AS,Alaska Airlines Inc.,SAN,SEA,630,1050,33.0,1,6
10,17,6,AA,American Airlines Inc.,14869,14107,705,507,-8.0,0,7
12,6,7,EV,Atlantic Southeast Airlines,EWR,DCA,905,199,70.0,1,9
2,28,6,WN,Southwest Airlines Co.,MHT,TPA,1730,1204,148.0,1,17
2,19,4,B6,JetBlue Airways,IAD,BOS,2059,413,124.0,1,20
2,6,5,EV,Atlantic Southeast Airlines,IAH,HRL,2105,295,-1.0,0,21
12,11,5,WN,Southwest Airlines Co.,IND,MCI,1005,451,-8.0,0,10
7,22,3,AA,American Airlines Inc.,IAH,DFW,1049,224,-6.0,0,10
12,24,4,EV,Atlantic Southeast Airlines,MLU,DFW,605,293,-1.0,0,6
5,19,2,DL,Delta Air Lines Inc.,ATL,SNA,1750,1919,-2.0,0,17
6,29,1,EV,Atlantic Southeast Airlines,SYR,ORD,1025,607,-7.0,0,10
12,29,2,UA,United Air Lines Inc.,ORD,MIA,730,1197,4.0,0,7
3,28,6,US,US Airways Inc.,PHX,RNO,950,601,367.0,1,9
